Key,English(en),Spanish(es)
ball.8_Ball.name,8 Ball,Bola 8
ball.8_Ball.desc,x3 score every 8th component hit.,x3 puntos cada 8º golpe de componente.
ball.AmpUp.name,Amp Up,Amplificar
ball.AmpUp.desc,"One use. On first component hit, destroys itself and permanently amps up the ball queued behind it (25% chance per hit to give +0.1 mult).","Un solo uso. Al primer golpe de componente, se destruye y amplifica permanentemente la bola en cola detrás de ella (25% de probabilidad por golpe de dar +0.1 mult)."
ball.Blue_Two.name,Blue Two,Azul Dos
ball.Blue_Two.desc,Scores 2x points.,Puntúa 2x puntos.
ball.BOMI.name,Ball of Minor Inconvenience,Bola de Inconveniente Menor
ball.BOMI.desc,Scores 1.5x but every 10th hit the score is inverted and subtracts.,Puntúa 1.5x pero cada 10º golpe la puntuación se invierte y resta.
ball.ConfettiBall.name,Confetti,Confeti
ball.ConfettiBall.desc,"Every 4 component hits, spawns 3 colorful mini-balls that pop after 3 hits. Up to 4 bursts per ball.","Cada 4 golpes de componente, genera 3 minibolas coloridas que estallan tras 3 golpes. Hasta 4 ráfagas por bola."
ball.CrossEyed.name,Cross-Eyed,Bizca
ball.CrossEyed.desc,Swaps flipper inputs. Doubles mult gained from board hits.,Invierte los controles de las paletas. Duplica el mult ganado por golpes al tablero.
ball.Egg.name,Egg,Huevo
ball.Egg.desc,Breaks on first collision. Doubles the effects of the ball that shoots after it.,Se rompe en la primera colisión. Duplica los efectos de la bola que se lanza después.
ball.Eye_on_The_Prize.name,Eye on the Prize,Ojo en el Premio
ball.Eye_on_The_Prize.desc,Spawn 10 white balls and 1 red ball. The white balls score x0.25 but the red one scores x3.,Genera 10 bolas blancas y 1 bola roja. Las bolas blancas puntúan x0.25 pero la roja puntúa x3.
ball.Gear.name,Gear,Engranaje
ball.Gear.desc,Mult gained from board targets is multiplied by how many Gear balls are in your loadout. Amplifier class.,El mult ganado por las dianas del tablero se multiplica por cuántas bolas Engranaje hay en tu inventario. Clase amplificadora.
ball.Golf_Ball.name,Golf Ball,Bola de Golf
ball.Golf_Ball.desc,"Ball first hit gives you 500 points and x2 mult. Everytime you hit a board component after that, you lose 10 points and .1 mult.","El primer golpe te da 500 puntos y x2 mult. Cada vez que golpeas un componente del tablero después, pierdes 10 puntos y .1 mult."
ball.Investor_Ball.name,Investor,Inversor
ball.Investor_Ball.desc,Earn +$1 for every 12 components hit.,Gana +$1 por cada 12 componentes golpeados.
ball.Joker_Ball.name,Joker,Comodín
ball.Joker_Ball.desc,Scores 1.25x.,Puntúa 1.25x.
ball.Leprechaun.name,Leprechaun,Leprechaun
ball.Leprechaun.desc,Earn +$1 for every 5 components hit.,Gana +$1 por cada 5 componentes golpeados.
ball.Lucky_7.name,Lucky 7,7 de la Suerte
ball.Lucky_7.desc,x2 score every 7th component hit.,x2 puntos cada 7º golpe de componente.
ball.MatryoshkaDoll.name,Matryoshka Doll,Muñeca Matrioska
